timestamp,Load_consumed (kWh),air_temp,holiday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,January,February,March,April,May,June,July,August,September,October,November
2024-04-29 03:45:00,,15.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 04:00:00,,15.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 04:15:00,,15.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 04:30:00,,15.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 04:45:00,,15.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 05:00:00,,15.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 05:15:00,,15.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 05:30:00,,15.666666666666666,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 05:45:00,,16.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 06:00:00,,16.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 06:15:00,,16.333333333333332,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 06:30:00,,17.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 06:45:00,,17.333333333333332,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 07:00:00,,18.666666666666668,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 07:15:00,,20.33333333333333,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 07:30:00,,21.666666666666668,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 07:45:00,,23.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 08:00:00,,23.33333333333333,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 08:15:00,,24.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 08:30:00,,24.33333333333333,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 08:45:00,,25.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 09:00:00,,25.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 09:15:00,,25.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 09:30:00,,25.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 09:45:00,,25.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 10:00:00,,26.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 10:15:00,,26.666666666666668,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 10:30:00,,27.666666666666668,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 10:45:00,,28.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 11:00:00,,28.666666666666668,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 11:15:00,,29.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 11:30:00,,29.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 11:45:00,,29.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 12:00:00,,29.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 12:15:00,,29.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 12:30:00,,29.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 12:45:00,,29.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 13:00:00,,29.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 13:15:00,,29.33333333333333,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 13:30:00,,30.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 13:45:00,,30.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 14:00:00,,30.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 14:15:00,,30.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 14:30:00,,30.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 14:45:00,,30.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 15:00:00,,29.666666666666668,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 15:15:00,,29.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 15:30:00,,28.33333333333333,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 15:45:00,,28.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 16:00:00,,28.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 16:15:00,,28.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 16:30:00,,28.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 16:45:00,,28.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 17:00:00,,28.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 17:15:00,,28.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 17:30:00,,27.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 17:45:00,,27.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 18:00:00,,27.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 18:15:00,,27.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 18:30:00,,27.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 18:45:00,,27.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 19:00:00,,27.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 19:15:00,,27.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 19:30:00,,27.666666666666668,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 19:45:00,,28.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 20:00:00,,27.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 20:15:00,,27.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 20:30:00,,26.33333333333333,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 20:45:00,,26.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 21:00:00,,25.666666666666668,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 21:15:00,,25.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 21:30:00,,25.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 21:45:00,,24.33333333333333,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 22:00:00,,24.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 22:15:00,,23.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 22:30:00,,23.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 22:45:00,,22.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 23:00:00,,22.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 23:15:00,,21.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 23:30:00,,21.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-29 23:45:00,,20.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-30 00:00:00,,20.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-30 00:15:00,,20.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
